run_date,tracked_at,marketplace,keyword,asin,scan_status,scanned_pages,found_any,page_est,pos_on_page,is_sponsored
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen shelf mats roll,B0BN5NZCGH,ok,1,True,1,22,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,plastic rolls for shelves,B0BN5NZCGH,ok,1,True,1,34,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,transparent plastic sheet,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,baby floor mat,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,drawer mat roll,B0BN5NZCGH,ok,1,True,1,9,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,exercise mat for home workout,B09MY5K3SH,ok,2,True,2,12,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym carpet,B09MY5K3SH,ok,1,True,1,6,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,cupboard liners for wardrobe,B0BN5NZCGH,ok,1,True,1,3,True
20-01-2026,20-01-2026 15:00:58,www.amazon.in,sheet for cupboard shelves,B0BN5NZCGH,ok,1,True,1,38,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen rack sheets,B0BN5NZCGH,ok,1,True,1,26,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,cupboard mats roll for wardrobe,B0BN5NZCGH,ok,1,True,1,32,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,gym equipment mat,B09MY5K3SH,ok,1,True,1,25,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen shelf liners,B0BN5NZCGH,ok,1,True,1,41,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,easyhome gym mats,B09MY5K3SH,ok,1,True,1,1,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,baby play mat,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf covers,B0BN5NZCGH,ok,2,True,2,35,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf mat roll,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kids foam mats for floor,B09MYDPF3Y,ok,1,True,1,11,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,baby play mat for 0 to 5 years,B0D92JZLVQ,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf covers for shelves,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,cupboard sheets,B0BN5NZCGH,ok,2,True,2,11,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,foam mats for floor for kids,B09MYDPF3Y,ok,1,True,1,5,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf mats for cupboards,B0BN5NZCGH,ok,2,True,2,13,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf sheets for cupboards,B0BN5NZCGH,ok,2,True,2,7,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,interlocking play mat for kids,B09MYDPF3Y,ok,1,True,1,4,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf sheets for kitchen shelves,B0BN5NZCGH,ok,1,True,1,41,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kids tiles mat,B09MYDPF3Y,ok,1,True,1,2,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,sheets for wardrobe,B0BN5NZCGH,ok,1,True,1,37,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,wardrobe sheets,B0BN5NZCGH,ok,1,True,1,39,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kids tiles mat,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,cupboard paper roll for shelf,B0BN5NZCGH,ok,1,True,1,48,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen self sheet waterproof,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf covers for cupboard,B0BN5NZCGH,ok,2,True,2,1,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen rolls for shelves,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,wardrobe sheets for shelves,B0BN5NZCGH,ok,2,True,2,16,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,plastic roll for kitchen shelf,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen shelf covers,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,cupboard shelf liners,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen cover sheets waterproof,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,shelf mats for kitchen shelves,B0BN5NZCGH,ok,2,True,2,15,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,foam mat for kids,B09MYDPF3Y,ok,1,True,1,12,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,sheet for kitchen shelves,B0BN5NZCGH,ok,7,False,,,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,plastic sheet for kitchen shelves,B0BN5NZCGH,ok,1,True,1,46,False
20-01-2026,20-01-2026 15:00:58,www.amazon.in,kitchen shelf sheets,B0BN5NZCGH,ok,7,False,,,False
