keywordId,cost,adGroupName,matchType,campaignId,sales1d,impressions,adGroupId,keywordBid,targeting,keywordType,clicks,purchases1d,keyword,campaignName
223438921274319,0,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,23,546641353074475,25.39,"asin=""B00KLS1KOQ""",TARGETING_EXPRESSION,0,0,"asin=""B00KLS1KOQ""",SP-PT-Hair Revitaliser-(Forest Essential)
212477711668564,60.86,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,619,546641353074475,25.39,"asin=""B0FMF4CWX9""",TARGETING_EXPRESSION,2,0,"asin=""B0FMF4CWX9""",SP-PT-Hair Revitaliser-(Forest Essential)
25439654428656,1126.22,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,3885,546641353074475,30,"asin=""B0B6W5KCRM""",TARGETING_EXPRESSION,31,0,"asin=""B0B6W5KCRM""",SP-PT-Hair Revitaliser-(Forest Essential)
133127581975605,14.4,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,140,546641353074475,25.39,"asin=""B0FPMF6VPD""",TARGETING_EXPRESSION,1,0,"asin=""B0FPMF6VPD""",SP-PT-Hair Revitaliser-(Forest Essential)
160860836691869,29.08,Ad Group - 10/2/2026 14:41:10.849,TARGETING_EXPRESSION,77553745435511,0,115,546641353074475,25.39,"asin=""B0DK3TZGQD""",TARGETING_EXPRESSION,1,0,"asin=""B0DK3TZGQD""",SP-PT-Hair Revitaliser-(Forest Essential)
130506976945786,31.22,Ad Group - 16/2/2026 11:08:18.146,TARGETING_EXPRESSION,252467080354898,0,337,339036717667693,27.03,"asin=""B08P3C7SDJ""",TARGETING_EXPRESSION,1,0,"asin=""B08P3C7SDJ""",SP-PT-Face Oil
194004479552924,0,Ad Group - 16/2/2026 11:08:18.146,TARGETING_EXPRESSION,252467080354898,0,1,339036717667693,27.03,"asin=""B0F32PKDMB""",TARGETING_EXPRESSION,0,0,"asin=""B0F32PKDMB""",SP-PT-Face Oil
70087019537424,0,Ad Group - 16/2/2026 11:08:18.146,TARGETING_EXPRESSION,252467080354898,0,1,339036717667693,25.03,"asin=""B0F32R1P35""",TARGETING_EXPRESSION,0,0,"asin=""B0F32R1P35""",SP-PT-Face Oil
156489180888266,350.4,Ad Group - 10/2/2026 14:44:51.522,TARGETING_EXPRESSION,133543582508551,0,246,385267679235213,23.65,"asin=""B0FDQG99RL""",TARGETING_EXPRESSION,8,0,"asin=""B0FDQG99RL""",SP-PT-Face Serum-(Forest Essential)
118153687447410,0,Ad Group - 10/2/2026 14:44:51.522,TARGETING_EXPRESSION,133543582508551,0,28,385267679235213,18.09,"asin=""B0D3FC29XD""",TARGETING_EXPRESSION,0,0,"asin=""B0D3FC29XD""",SP-PT-Face Serum-(Forest Essential)
