targeting,cost,searchTerm,unitsSoldClicks1d,adGroupName,campaignId,clicks,purchases1d,sales1d,impressions,campaignName,adGroupId
substitutes,16.74,grandma secret scalp scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,1,SPA-Face Scrub,441760799846673
ayurvedic face pack,18.97,green tea ayurvedic face pack,0,Ad Group - 2/3/2026 13:03:28.360,22913106144338,1,0,0,1,SP-KT-Face Mask,293912773304118
green tea face mask,47.86,green tea face mask,0,Ad Group - 2/3/2026 13:03:28.360,22913106144338,2,0,0,26,SP-KT-Face Mask,293912773304118
green tea face mask,26.64,green tea face masks,0,Ad Group - 2/3/2026 13:03:28.360,22913106144338,1,0,0,2,SP-KT-Face Mask,293912773304118
face scrub,19.09,green tea face scrub naturex,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
substitutes,20.84,haldi chandan scrub for face,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,9,SPA-Face Scrub,441760799846673
"asin=""B0CV79NBBK""",78.73,haldi chandan scrub for face,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,0,0,4,SP-PT-Face Scrub,530622467560381
pigmentation cream for women,28.43,hand pigmentation cream for women for hands organic,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,2,0,0,5,SP-KT-Night & Day Cream,418846667332067
pigmentation cream,18.75,health india advance anti pigmentation cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,1,SP-KT-Night & Day Cream,418846667332067
pigmentation cream,16.08,healthix india advanced anti pigmentation cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,4,SP-KT-Night & Day Cream,418846667332067
day cream,8.74,heaven magic day cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,2,SP-KT-Night & Day Cream,418846667332067
substitutes,31.5,heavy tan removal,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,2,0,0,39,SPA-Face Scrub,441760799846673
substitutes,15.75,herbal face scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,1,SPA-Face Scrub,441760799846673
"asin=""B01N7VRC5U""",110.62,herbal face scrub,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,2,0,0,3,SP-PT-Face Scrub,530622467560381
face scrub,31.0,herbal face scrub for kids 12 to 15,1,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,1,419.49,1,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",38.62,herbal face scrub powder,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,2,SP-PT-Face Scrub,530622467560381
substitutes,16.14,herbal scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,5,SPA-Face Scrub,441760799846673
"asin=""B01N7VRC5U""",26.16,herbal scrub for face,1,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,1,419.49,6,SP-PT-Face Scrub,530622467560381
