SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
cloth organizer bag,576,8,108.48,452.38,1,23.98,12.5,MONITOR
floor mats for kids play room,117,19,107.8,0.0,0,,0.0,ADD AS NEGATIVE
baby play tiles,1279,20,107.5,0.0,0,,0.0,ADD AS NEGATIVE
gym floor tiles,1635,16,107.47,0.0,0,,0.0,ADD AS NEGATIVE
baby play mats for floor,301,21,107.02,0.0,0,,0.0,ADD AS NEGATIVE
kids play area,1342,20,106.75,0.0,0,,0.0,ADD AS NEGATIVE
water and oil proof shelf liners,78,6,106.65,0.0,0,,0.0,ADD AS NEGATIVE
shelf liner roll,275,7,106.43,814.41,2,13.07,28.57,BEST CONVERTING
mat for exercise at home,2084,17,106.04,0.0,0,,0.0,ADD AS NEGATIVE
easy home blanket storage bags,204,8,105.4,942.86,2,11.18,25.0,BEST CONVERTING
kids foam mats for floor,464,11,105.15,0.0,0,,0.0,ADD AS NEGATIVE
babies play mat with fence,234,18,104.96,0.0,0,,0.0,ADD AS NEGATIVE
gym mat for baby,2166,18,104.62,0.0,0,,0.0,ADD AS NEGATIVE
sheet for kitchen shelf,1852,10,104.57,0.0,0,,0.0,ADD AS NEGATIVE
b0b6tfq66m,282,12,104.43,0.0,0,,0.0,ADD AS NEGATIVE
rubber tiles for flooring,1924,17,104.3,0.0,0,,0.0,ADD AS NEGATIVE
extra large blanket storage bags,92,6,103.66,0.0,0,,0.0,ADD AS NEGATIVE
shoppofobix shelf liners for kitchen shelves,858,9,103.41,0.0,0,,0.0,ADD AS NEGATIVE
mat baby play waterproof,216,19,103.28,0.0,0,,0.0,ADD AS NEGATIVE
large storage bags for clothes,48,7,103.07,923.81,2,11.16,28.57,BEST CONVERTING
kids playing mat big size large,133,18,102.61,0.0,0,,0.0,ADD AS NEGATIVE
foam mat for baby,283,15,101.61,0.0,0,,0.0,ADD AS NEGATIVE
floor tile,107,15,101.59,0.0,0,,0.0,ADD AS NEGATIVE
rubber mat gym,579,13,101.55,4207.62,1,2.41,7.69,MONITOR
gym bench for home,1043,18,101.3,0.0,0,,0.0,ADD AS NEGATIVE
water play mat for babies,1374,18,100.92,0.0,0,,0.0,ADD AS NEGATIVE
big size blanket storage bag,120,6,100.54,0.0,0,,0.0,ADD AS NEGATIVE
bed organizer storage,281,7,100.24,0.0,0,,0.0,ADD AS NEGATIVE
adhesive shelf liner,61,6,99.91,0.0,0,,0.0,ADD AS NEGATIVE
baby interlocking mat,575,17,99.85,0.0,0,,0.0,ADD AS NEGATIVE
storage bag clothes,924,8,99.56,0.0,0,,0.0,ADD AS NEGATIVE
b08m9gp2tx,752,8,99.05,0.0,0,,0.0,ADD AS NEGATIVE
large cloth storage bags for clothes,49,6,98.75,0.0,0,,0.0,ADD AS NEGATIVE
rubber floor mat for gym,637,17,98.64,0.0,0,,0.0,ADD AS NEGATIVE
baby play mat 0.8cm thickness,205,17,98.39,0.0,0,,0.0,ADD AS NEGATIVE
b0g1yqxmcy,304,10,98.3,2338.1,2,4.2,20.0,BEST CONVERTING
b0cr7r9ldk,220,22,98.29,0.0,0,,0.0,ADD AS NEGATIVE
big blanket storage bags,565,5,98.0,0.0,0,,0.0,ADD AS NEGATIVE
play mat for babies thick,1339,14,97.84,0.0,0,,0.0,ADD AS NEGATIVE
yoga mat,794,17,97.72,1614.29,1,6.05,5.88,MONITOR
cloth storage bag extra large,54,6,97.54,923.81,2,10.56,33.33,BEST CONVERTING
bag for clothes,95,7,97.28,452.38,1,21.5,14.29,MONITOR
b0f4l6t7h3,1590,15,97.18,0.0,0,,0.0,ADD AS NEGATIVE
plastic roll for shelves,145,7,96.76,334.75,1,28.91,14.29,MONITOR
storage bag for cloth,50,6,96.1,471.43,1,20.38,16.67,MONITOR
playing mat for kids 12mm thickness,2195,17,96.05,1452.38,1,6.61,5.88,MONITOR
b0flqb8d3l,209,16,96.03,5895.24,2,1.63,12.5,BEST CONVERTING
baby crawl mats,83,13,95.95,0.0,0,,0.0,ADD AS NEGATIVE
b07gzvmk3r,870,15,95.85,0.0,0,,0.0,ADD AS NEGATIVE
interlocking floor mats,1832,18,95.41,0.0,0,,0.0,ADD AS NEGATIVE
kids interlocking mat,749,14,95.37,0.0,0,,0.0,ADD AS NEGATIVE
b09jg4v2ph,114,7,94.51,669.49,2,14.12,28.57,BEST CONVERTING
b07dp2nnvk,417,25,94.28,15394.29,2,0.61,8.0,BEST CONVERTING
dumbbell set 5kg,1464,17,94.05,1760.95,1,5.34,5.88,MONITOR
yellow weaves shelf liners for kitchen shelves,385,8,93.66,334.75,1,27.98,12.5,MONITOR
b09qmk3pc5,133,12,93.66,0.0,0,,0.0,ADD AS NEGATIVE
shelf liners for kitchen shelves 60 cm,460,8,93.4,0.0,0,,0.0,ADD AS NEGATIVE
storage bag jumbo for clothes,75,6,93.33,0.0,0,,0.0,ADD AS NEGATIVE
storage bags for blankets large,65,6,92.85,1561.91,2,5.94,33.33,BEST CONVERTING
thick play mat for babies,633,17,92.8,0.0,0,,0.0,ADD AS NEGATIVE
