sku,asin,product_name,fba_available,fba_inbound_working,fba_inbound_shipped,fba_reserved,fba_unsellable,fba_total,snapshot_date
EH_Black&Grey_EVA_PO4,B0D9HCMCCY,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey (4 Tiles - 16Sqft)",243,0,0,1,2,244,2026-04-13
EH_Black&Grey_EVA_PO8,B0D9HB8LTP,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey (8 Tiles - 32Sqft)",119,0,0,0,0,119,2026-04-13
EH_Black&Grey_Leaf_PO12,B0GL8PBY47,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm 12mm, Black & Grey Pack of 12",32,0,0,0,0,32,2026-04-13
EH_Black&Grey_Leaf_PO16,B0GL92YFHT,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm 12mm, Black & Grey Pack of 16",24,0,0,0,0,24,2026-04-13
EH_Black&Grey_Leaf_PO4,B0GL8MFQGN,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey Pack of 4",96,0,0,0,0,96,2026-04-13
EH_Black&Grey_Leaf_PO8,B0GL8BF4Z6,"EASY HOME Gym Mats for Floor for Home and Living Room, Leaf Pattern Interlocking Rubber Floor Gym Mat for Workout at Home, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm, Black & Grey Pack of 8",48,0,0,0,0,48,2026-04-13
EH_EVA_ALL_MULTICOLOR_PO9,B0F7RQKXVL,"EASY HOME Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",84,0,0,3,0,87,2026-04-13
EH_EVA_Black_Mat_PO12,B0C141W8X1,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Black (Pack of 12 Tile- 48 Sq ft)",80,0,0,0,0,80,2026-04-13
EH_EVA_Black_Mat_PO16,B086424GCB,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Black (Pack of 16 Tile- 64 Sq ft)",59,0,0,0,0,59,2026-04-13
EH_EVA_Black_Mat_PO20,B0C145NC99,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Black (Pack of 20 Tile- 80 Sq ft)",47,0,0,0,0,47,2026-04-13
EH_EVA_Black_Mat_PO24,B0C1451N5Q,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Black (Pack of 24 Tile- 96 Sq ft)",39,0,0,0,0,39,2026-04-13
EH_EVA_Black_Mat_PO4,B0C1431JNZ,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Black (Pack of 4 Tile- 16 Sq ft)",286,0,0,1,3,287,2026-04-13
EH_EVA_Blue_Grey_White_PO9,B0F91VHKKW,"EASY HOME Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",33,0,0,1,3,34,2026-04-13
EH_EVA_Brown&Beige_PO9,B0F9X8LW1G,"EASY HOME Interlocking Mat - 12mm Thick | 60x60cm 9 Tiles (36 Sq Ft Area) for Kids | Soft & Protective Puzzle Mat for Baby Crawling, Playroom & Exercise",39,0,0,1,3,40,2026-04-13
EH_EVA_Grey_Mat_PO04,B0FMRH64X9,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Grey (Pack of 4-12 Sq Ft Area)",128,0,35,0,4,163,2026-04-13
EH_EVA_Grey_Mat_PO12,B0C145JTP3,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Grey (Pack of 12-48 Sq Ft Area)",40,0,0,0,0,40,2026-04-13
EH_EVA_Grey_Mat_PO16,B0C1471G4X,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Grey (Pack of 16-64 Sq Ft Area)",31,0,0,0,0,31,2026-04-13
EH_EVA_Grey_Mat_PO20,B0C146YRHW,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Grey (Pack of 20-80 Sq Ft Area)",25,0,0,0,0,25,2026-04-13
EH_EVA_Grey_Mat_PO24,B0C143T5D8,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Workout Mat- 60x60cm - 12mm Thickness, Grey (Pack of 24-96 Sq Ft Area)",20,0,0,0,0,20,2026-04-13
EH_EVA_Grey_Mat_PO8,B0C145GFJY,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Exercise, Super Absorbent EVA Foam Mat- 60x60cm - 12mm Thickness, Grey (8 Tiles - 32Sqft)",62,0,0,0,0,62,2026-04-13
