ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category,CategoryKey,total_units,total_revenue,shipped_units,cancelled_units,fba_available,fba_inbound,fba_total,cost_price,organic_sales,blended_roas,ad_contribution_pct
B0G1YY2HCV,SB_Orange&Navy Blue_33Ltrs_PO4,3173,17,247.16,3647.62,4,4,6.78,14.76,0.54,23.53,14.54,2,PUSH HARDER,Storage,23.0,21735.0,22.0,0.0,,,,,18087.38,87.9389868910827,16.782240625718885
B0C145GFJY,EH_EVA_Grey_Mat_PO8,7378,36,219.37,2441.9,2,2,8.98,11.13,0.49,5.56,6.09,1,PUSH HARDER,EVA_Gym,10.0,14526.0,10.0,0.0,,,,,12084.1,66.21689383233806,16.81054660608564
B0FMP6CMM6,eh_DIAMOND_EVA_MULTI_PO9_New,3612,27,208.03,0.0,0,0,,0.0,0.75,0.0,7.7,3,LOSER - PAUSE,EVA_Kids,7.0,22281.08,7.0,0.0,,,,,22281.08,107.1051290679229,0.0
B0F48HNNB1,EH_ASM_Small_Leaf_45x5,5503,24,204.35,0.0,0,0,,0.0,0.44,0.0,8.51,1,LOSER - PAUSE,ASM,2.0,1150.0,2.0,0.0,,,,200.0,1150.0,5.6275997063861025,0.0
B0CJR9TTCR,Antislipmat_Clear_Lines_45cmx5mtr,6140,18,198.6,334.75,1,1,59.33,1.69,0.29,5.56,11.03,3,LOSER - CUT BIDS,ASM,22.0,8680.0,22.0,0.0,,,,145.0,8345.25,43.705941591137965,3.8565668202764978
B0C1471G4X,EH_EVA_Grey_Mat_PO16,4871,22,189.65,0.0,0,0,,0.0,0.45,0.0,8.62,12,LOSER - PAUSE,EVA_Gym,14.0,41075.0,14.0,0.0,,,,,41075.0,216.58317954126022,0.0
B0G1YX68NH,SB_Black&White_33Ltrs_PO4,4053,12,187.51,900.0,1,1,20.83,4.8,0.3,8.33,15.63,1,MONITOR,Storage,1.0,940.0,1.0,0.0,,,,,40.0,5.013065969814943,95.74468085106383
B0F2TH8Z6S,eva_mats_black_PO12,4330,14,187.49,0.0,0,0,,0.0,0.32,0.0,13.39,6,LOSER - PAUSE,EVA_Gym,8.0,19800.0,8.0,0.0,,,,,19800.0,105.60563230038935,0.0
B0CRKQJNL4,eHK_EVA_MULTI_4,1096,27,183.69,0.0,0,0,,0.0,2.46,0.0,6.8,1,LOSER - PAUSE,EVA_Kids,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
B0C143T5D8,EH_EVA_Grey_Mat_PO24,4386,30,140.13,0.0,0,0,,0.0,0.68,0.0,4.67,1,LOSER - PAUSE,EVA_Gym,13.0,53762.0,13.0,0.0,,,,,53762.0,383.6580318275887,0.0
