SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
face scrub for oily skin,8,1,37.64,0.0,0,,0.0,ADD AS NEGATIVE
body shop face scrub,6,2,37.5,0.0,0,,0.0,ADD AS NEGATIVE
walnut face scrub,25,2,37.4,0.0,0,,0.0,ADD AS NEGATIVE
face scru,2,1,37.38,0.0,0,,0.0,ADD AS NEGATIVE
best herbal hair oil for hair growth,2,1,37.21,0.0,0,,0.0,ADD AS NEGATIVE
organic scrub,12,2,37.09,0.0,0,,0.0,ADD AS NEGATIVE
ubtan scrub for women,13,2,37.02,0.0,0,,0.0,ADD AS NEGATIVE
neem face pack for women,3,2,36.81,0.0,0,,0.0,ADD AS NEGATIVE
golden face scrub,10,1,36.72,0.0,0,,0.0,ADD AS NEGATIVE
bryan and candy face scrub,2,1,36.05,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for glowing skin herbal,4,2,35.9,0.0,0,,0.0,ADD AS NEGATIVE
scrub apricot,1,1,35.78,0.0,0,,0.0,ADD AS NEGATIVE
top 10 scrub for face,9,1,35.59,0.0,0,,0.0,ADD AS NEGATIVE
thrive face scrub,2,1,35.56,0.0,0,,0.0,ADD AS NEGATIVE
a.d.s face and body cleansing scrub gel papaya,4,1,35.53,0.0,0,,0.0,ADD AS NEGATIVE
b00nxxfjma,6,1,35.25,0.0,0,,0.0,ADD AS NEGATIVE
face scrub powder,20,2,34.99,0.0,0,,0.0,ADD AS NEGATIVE
lotus ubtan face scrub,9,2,34.81,0.0,0,,0.0,ADD AS NEGATIVE
aroma scrub for face,9,1,34.7,0.0,0,,0.0,ADD AS NEGATIVE
b09nftbxc7,38,3,34.59,0.0,0,,0.0,ADD AS NEGATIVE
b0ctqyxhdl,32,2,34.59,0.0,0,,0.0,ADD AS NEGATIVE
wild oak face scrub,6,1,34.49,0.0,0,,0.0,ADD AS NEGATIVE
walnut face scrub for glowing skin,8,2,34.37,0.0,0,,0.0,ADD AS NEGATIVE
face skin exfoliator,1,1,34.28,0.0,0,,0.0,ADD AS NEGATIVE
saffron face scrub,4,2,34.2,0.0,0,,0.0,ADD AS NEGATIVE
sage fable day cream,8,2,33.78,0.0,0,,0.0,ADD AS NEGATIVE
ayurvedic scrub,5,2,33.68,0.0,0,,0.0,ADD AS NEGATIVE
chemist play scrub,4,1,33.68,0.0,0,,0.0,ADD AS NEGATIVE
kumkumadi scrub,3,2,33.48,0.0,0,,0.0,ADD AS NEGATIVE
vaadi face pack,3,2,33.48,419.49,1,7.98,50.0,MONITOR
red sandalwood cream for face,2,2,33.42,0.0,0,,0.0,ADD AS NEGATIVE
b0f6yq54x9,42,3,33.38,0.0,0,,0.0,ADD AS NEGATIVE
b0c16wmv35,10,2,33.33,0.0,0,,0.0,ADD AS NEGATIVE
plix scrub for face,3,1,33.33,0.0,0,,0.0,ADD AS NEGATIVE
b0fm38bczy,6,2,33.3,0.0,0,,0.0,ADD AS NEGATIVE
b0cnk47nfd,531,2,33.27,0.0,0,,0.0,ADD AS NEGATIVE
b0fprlqfvd,129,2,33.26,0.0,0,,0.0,ADD AS NEGATIVE
b0d1knz19h,8,2,33.14,0.0,0,,0.0,ADD AS NEGATIVE
b0brpwyhtb,13,2,33.1,0.0,0,,0.0,ADD AS NEGATIVE
b0brndqkr3,81,2,33.01,0.0,0,,0.0,ADD AS NEGATIVE
b08qfl5x53,507,2,32.98,0.0,0,,0.0,ADD AS NEGATIVE
b0gqhw34jc,5,2,32.9,0.0,0,,0.0,ADD AS NEGATIVE
b0drdbdgfz,60,2,32.85,0.0,0,,0.0,ADD AS NEGATIVE
b0byzvrr9l,36,2,32.78,0.0,0,,0.0,ADD AS NEGATIVE
aveeno brightening scrub,36,2,32.72,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for blackheads and whiteheads,5,1,32.71,0.0,0,,0.0,ADD AS NEGATIVE
